5.70,025.51256331,-36.83226421,5.702,5.706,-0.010,0.03
5.63,025.51439571,+35.24576705,5.554,5.624,-0.059,-.04
5.25,025.53602338,-32.32685759,6.576,5.371,1.044,1.04
5.57,025.58518510,+68.04304624,5.496,5.555,-0.049,-.03
5.52,025.62146258,-53.74057470,6.170,5.581,0.551,0.62
4.98,025.68132047,-03.69011692,6.797,5.145,1.378,1.26
5.18,025.73220374,+70.62255881,5.149,5.175,-0.022,0.00
5.78,025.83223958,+60.55137091,5.760,5.776,-0.010,0.01
4.01,025.91506370,+50.68876550,3.906,4.020,-0.098,-.08
4.26,026.34828629,+09.15764102,5.484,4.372,0.942,0.93
5.29,026.41106016,-25.05243403,5.741,5.314,0.395,0.46
5.37,026.49694074,-05.73322696,7.352,5.534,1.517,1.55
5.49,026.52469172,-50.81621317,7.564,5.675,1.615,2.16
5.04,026.52557865,-53.52218065,5.076,5.042,0.031,0.05
5.63,026.93360110,+63.85310111,6.623,5.708,0.804,0.81
5.86,027.04542790,+16.95563093,5.806,5.850,-0.039,-.02
5.91,027.10843265,+03.68540364,7.154,6.014,0.970,0.99
5.94,027.16184118,+37.95293583,7.179,6.049,0.975,0.96
5.78,027.17366149,+32.68948705,6.466,5.848,0.572,0.64
4.66,027.39662961,-10.68618074,5.071,4.698,0.333,0.38
5.83,027.53575113,+22.27535660,6.743,5.925,0.743,0.79
5.92,027.71672491,+11.04344590,6.285,5.962,0.302,0.39
5.94,027.72699465,-50.20612713,6.126,5.958,0.154,0.17
5.96,027.73786884,+51.93369809,6.474,6.005,0.419,0.49
3.74,027.86504416,-10.33494526,5.193,3.858,1.136,1.07
5.53,027.99711412,+55.14740479,5.291,5.493,-0.175,-.18
5.70,028.03897527,+50.79286359,5.609,5.688,-0.067,-.04
5.78,028.21703176,-16.92912351,6.094,5.818,0.260,0.29
3.42,028.27041595,+29.57939727,4.002,3.476,0.488,0.55
5.42,028.32229965,+40.72979974,7.108,5.546,1.311,1.27
3.88,028.38235506,+19.29409264,4.608,4.632,-0.047,-.03
4.61,028.38890233,+03.18747844,5.808,4.719,0.928,0.93
4.39,028.41174872,-46.30244631,6.428,4.607,1.597,2.49
5.12,028.59191795,-42.49688104,5.051,5.107,-0.060,-.04
3.35,028.59868107,+63.67014686,3.183,3.329,-0.150,-.12
2.64,028.65978771,+20.80829949,2.861,2.681,0.165,0.18
4.68,028.73339519,-67.64748114,5.874,4.792,0.931,0.95
5.76,028.96263355,+23.57734317,7.287,5.885,1.185,1.15
5.89,028.97697359,+37.27780093,8.010,6.084,1.599,1.62
3.69,028.98680207,-51.60958673,4.784,3.808,0.844,0.90
4.97,029.00001575,+68.68526545,4.863,4.961,-0.084,-.06
5.69,029.03845779,+37.25180400,7.057,5.810,1.060,1.03
4.92,029.16732782,-22.52671153,6.789,5.069,1.434,1.45
4.82,029.29163705,-47.38529869,5.920,4.930,0.864,0.89
5.09,029.33763922,+17.81758940,6.263,5.204,0.921,0.95
5.84,029.43223051,+27.80452380,7.899,6.042,1.576,2.09
4.79,029.48239763,+23.59609610,5.124,4.805,0.290,0.33
5.70,029.63958177,+49.20425200,6.989,5.817,1.005,0.98
2.86,029.69113269,-61.56992444,3.223,2.892,0.290,0.34
5.89,029.89831329,+21.05860461,7.218,6.002,1.031,0.98
5.29,029.90828959,+64.62163894,5.284,5.283,0.002,0.02
5.57,029.91189289,-42.03028941,6.918,5.685,1.052,1.02
5.43,029.94245126,-20.82457549,7.562,5.633,1.640,1.87
3.99,030.00093670,-21.07777193,6.069,4.185,1.554,1.79
5.89,030.03760293,+03.09763527,6.624,5.947,0.610,0.65
5.43,030.11154942,-08.52382616,7.302,5.670,1.391,2.89
5.34,030.31165140,-30.00156583,6.442,5.450,0.883,0.94
5.15,030.42667654,-44.71339037,7.094,5.319,1.471,1.61
4.49,030.48979079,+70.90704605,4.711,4.533,0.164,0.20
3.82,030.51166929,+02.76376048,3.729,3.673,0.024,0.05
4.99,030.57530917,+54.48754946,4.903,4.986,-0.071,-.02
5.97,030.64615770,+13.47672808,8.046,6.180,1.584,2.20
6.00,030.71872421,+64.90149425,6.034,6.002,0.029,0.05
5.50,030.74152860,+33.28415151,5.566,5.520,0.029,0.07
5.87,030.74397324,-15.30594985,7.094,5.969,0.966,0.95
5.59,030.75078582,+64.39002289,5.997,5.654,0.325,0.53
5.42,030.79835710,+00.12845397,5.621,5.449,0.146,0.19
